seed,condition,tx_ibo_db,rx_backoff_db,mode,modulation,snr_db,delta_pd,delta_lo,delta_hi
101,tx_9dB,9.0,,frozen,16qam,-2,0.017,0.01,0.026
101,tx_9dB,9.0,,frozen,32qam,-2,0.018,0.01,0.027
101,tx_9dB,9.0,,recalibrated,bpsk,-2,0.002,0.0,0.005
101,tx_9dB,9.0,,recalibrated,qpsk,-2,0.0,0.0,0.0
101,tx_9dB,9.0,,recalibrated,16qam,-2,0.017,0.01,0.026
101,tx_9dB,9.0,,recalibrated,32qam,-2,0.018,0.01,0.027
101,tx_9dB,9.0,,frozen,bpsk,0,0.0,0.0,0.0
101,tx_9dB,9.0,,frozen,qpsk,0,0.0,0.0,0.0
101,tx_9dB,9.0,,frozen,16qam,0,0.003,0.0,0.007
101,tx_9dB,9.0,,frozen,32qam,0,0.005,0.001,0.01
101,tx_9dB,9.0,,recalibrated,bpsk,0,0.0,0.0,0.0
101,tx_9dB,9.0,,recalibrated,qpsk,0,0.0,0.0,0.0
101,tx_9dB,9.0,,recalibrated,16qam,0,0.003,0.0,0.007
101,tx_9dB,9.0,,recalibrated,32qam,0,0.005,0.001,0.01
101,tx_9dB,9.0,,frozen,bpsk,2,0.0,0.0,0.0
101,tx_9dB,9.0,,frozen,qpsk,2,0.0,0.0,0.0
101,tx_9dB,9.0,,frozen,16qam,2,0.001,0.0,0.003
101,tx_9dB,9.0,,frozen,32qam,2,0.001,0.0,0.003
101,tx_9dB,9.0,,recalibrated,bpsk,2,0.0,0.0,0.0
101,tx_9dB,9.0,,recalibrated,qpsk,2,0.0,0.0,0.0
101,tx_9dB,9.0,,recalibrated,16qam,2,0.001,0.0,0.003
101,tx_9dB,9.0,,recalibrated,32qam,2,0.001,0.0,0.003
101,tx_9dB,9.0,,frozen,bpsk,4,0.0,0.0,0.0
101,tx_9dB,9.0,,frozen,qpsk,4,0.0,0.0,0.0
101,tx_9dB,9.0,,frozen,16qam,4,0.0,0.0,0.0
101,tx_9dB,9.0,,frozen,32qam,4,0.0,0.0,0.0
101,tx_9dB,9.0,,recalibrated,bpsk,4,0.0,0.0,0.0
101,tx_9dB,9.0,,recalibrated,qpsk,4,0.0,0.0,0.0
101,tx_9dB,9.0,,recalibrated,16qam,4,0.0,0.0,0.0
101,tx_9dB,9.0,,recalibrated,32qam,4,0.0,0.0,0.0
101,tx_9dB,9.0,,frozen,bpsk,6,0.0,0.0,0.0
101,tx_9dB,9.0,,frozen,qpsk,6,0.0,0.0,0.0
101,tx_9dB,9.0,,frozen,16qam,6,0.0,0.0,0.0
101,tx_9dB,9.0,,frozen,32qam,6,0.0,0.0,0.0
101,tx_9dB,9.0,,recalibrated,bpsk,6,0.0,0.0,0.0
101,tx_9dB,9.0,,recalibrated,qpsk,6,0.0,0.0,0.0
101,tx_9dB,9.0,,recalibrated,16qam,6,0.0,0.0,0.0
101,tx_9dB,9.0,,recalibrated,32qam,6,0.0,0.0,0.0
101,tx_9dB,9.0,,frozen,bpsk,8,0.0,0.0,0.0
101,tx_9dB,9.0,,frozen,qpsk,8,0.0,0.0,0.0
101,tx_9dB,9.0,,frozen,16qam,8,0.0,0.0,0.0
101,tx_9dB,9.0,,frozen,32qam,8,0.0,0.0,0.0
101,tx_9dB,9.0,,recalibrated,bpsk,8,0.0,0.0,0.0
101,tx_9dB,9.0,,recalibrated,qpsk,8,0.0,0.0,0.0
101,tx_9dB,9.0,,recalibrated,16qam,8,0.0,0.0,0.0
101,tx_9dB,9.0,,recalibrated,32qam,8,0.0,0.0,0.0
101,tx_9dB,9.0,,frozen,bpsk,10,0.0,0.0,0.0
101,tx_9dB,9.0,,frozen,qpsk,10,0.0,0.0,0.0
101,tx_9dB,9.0,,frozen,16qam,10,0.0,0.0,0.0
101,tx_9dB,9.0,,frozen,32qam,10,0.0,0.0,0.0
101,tx_9dB,9.0,,recalibrated,bpsk,10,0.0,0.0,0.0
101,tx_9dB,9.0,,recalibrated,qpsk,10,0.0,0.0,0.0
101,tx_9dB,9.0,,recalibrated,16qam,10,0.0,0.0,0.0
101,tx_9dB,9.0,,recalibrated,32qam,10,0.0,0.0,0.0
101,tx_6dB,6.0,,frozen,bpsk,-10,0.343,0.313975,0.3720249999999999
101,tx_6dB,6.0,,frozen,qpsk,-10,0.133,0.108,0.157
101,tx_6dB,6.0,,frozen,16qam,-10,0.449,0.416,0.481
101,tx_6dB,6.0,,frozen,32qam,-10,0.43,0.397,0.464
101,tx_6dB,6.0,,recalibrated,bpsk,-10,0.343,0.313975,0.3720249999999999
101,tx_6dB,6.0,,recalibrated,qpsk,-10,0.133,0.108,0.157
101,tx_6dB,6.0,,recalibrated,16qam,-10,0.449,0.416,0.481
101,tx_6dB,6.0,,recalibrated,32qam,-10,0.43,0.397,0.464
101,tx_6dB,6.0,,frozen,bpsk,-8,0.136,0.115,0.157
101,tx_6dB,6.0,,frozen,qpsk,-8,0.045,0.033,0.059
101,tx_6dB,6.0,,frozen,16qam,-8,0.438,0.407,0.4680249999999999
101,tx_6dB,6.0,,frozen,32qam,-8,0.431,0.4,0.461
101,tx_6dB,6.0,,recalibrated,bpsk,-8,0.136,0.115,0.157
101,tx_6dB,6.0,,recalibrated,qpsk,-8,0.045,0.033,0.059
101,tx_6dB,6.0,,recalibrated,16qam,-8,0.438,0.407,0.4680249999999999
101,tx_6dB,6.0,,recalibrated,32qam,-8,0.431,0.4,0.461
101,tx_6dB,6.0,,frozen,bpsk,-6,0.033,0.022,0.044
101,tx_6dB,6.0,,frozen,qpsk,-6,0.008,0.003,0.014
101,tx_6dB,6.0,,frozen,16qam,-6,0.233,0.206975,0.259
101,tx_6dB,6.0,,frozen,32qam,-6,0.263,0.236,0.291
101,tx_6dB,6.0,,recalibrated,bpsk,-6,0.033,0.022,0.044
101,tx_6dB,6.0,,recalibrated,qpsk,-6,0.008,0.003,0.014
101,tx_6dB,6.0,,recalibrated,16qam,-6,0.233,0.206975,0.259
101,tx_6dB,6.0,,recalibrated,32qam,-6,0.263,0.236,0.291
101,tx_6dB,6.0,,frozen,bpsk,-4,0.007,0.002,0.012
101,tx_6dB,6.0,,frozen,qpsk,-4,0.0,0.0,0.0
101,tx_6dB,6.0,,frozen,16qam,-4,0.073,0.056,0.09
101,tx_6dB,6.0,,frozen,32qam,-4,0.071,0.055,0.08702499999999985
101,tx_6dB,6.0,,recalibrated,bpsk,-4,0.007,0.002,0.012
101,tx_6dB,6.0,,recalibrated,qpsk,-4,0.0,0.0,0.0
101,tx_6dB,6.0,,recalibrated,16qam,-4,0.073,0.056,0.09
101,tx_6dB,6.0,,recalibrated,32qam,-4,0.071,0.055,0.08702499999999985
101,tx_6dB,6.0,,frozen,bpsk,-2,0.002,0.0,0.005
101,tx_6dB,6.0,,frozen,qpsk,-2,0.0,0.0,0.0
101,tx_6dB,6.0,,frozen,16qam,-2,0.017,0.01,0.026
101,tx_6dB,6.0,,frozen,32qam,-2,0.018,0.01,0.027
101,tx_6dB,6.0,,recalibrated,bpsk,-2,0.002,0.0,0.005
101,tx_6dB,6.0,,recalibrated,qpsk,-2,0.0,0.0,0.0
101,tx_6dB,6.0,,recalibrated,16qam,-2,0.017,0.01,0.026
101,tx_6dB,6.0,,recalibrated,32qam,-2,0.018,0.01,0.027
101,tx_6dB,6.0,,frozen,bpsk,0,0.0,0.0,0.0
101,tx_6dB,6.0,,frozen,qpsk,0,0.0,0.0,0.0
101,tx_6dB,6.0,,frozen,16qam,0,0.003,0.0,0.007
101,tx_6dB,6.0,,frozen,32qam,0,0.005,0.001,0.01
101,tx_6dB,6.0,,recalibrated,bpsk,0,0.0,0.0,0.0
101,tx_6dB,6.0,,recalibrated,qpsk,0,0.0,0.0,0.0
101,tx_6dB,6.0,,recalibrated,16qam,0,0.003,0.0,0.007
101,tx_6dB,6.0,,recalibrated,32qam,0,0.005,0.001,0.01
101,tx_6dB,6.0,,frozen,bpsk,2,0.0,0.0,0.0
101,tx_6dB,6.0,,frozen,qpsk,2,0.0,0.0,0.0
101,tx_6dB,6.0,,frozen,16qam,2,0.001,0.0,0.003
101,tx_6dB,6.0,,frozen,32qam,2,0.001,0.0,0.003
101,tx_6dB,6.0,,recalibrated,bpsk,2,0.0,0.0,0.0
101,tx_6dB,6.0,,recalibrated,qpsk,2,0.0,0.0,0.0
101,tx_6dB,6.0,,recalibrated,16qam,2,0.001,0.0,0.003
101,tx_6dB,6.0,,recalibrated,32qam,2,0.001,0.0,0.003
101,tx_6dB,6.0,,frozen,bpsk,4,0.0,0.0,0.0
