seed,condition,tx_ibo_db,rx_backoff_db,mode,modulation,snr_db,model,gamma,target_pfa,pd,pd_lo,pd_hi,measured_pfa,pfa_lo,pfa_hi,auc,n_signal,n_noise
101,linear,,,recalibrated,16qam,2,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.009,0.004742060667477063,0.01701581616533807,1.0,1000,1000
101,linear,,,recalibrated,32qam,2,CAE,0.0592348575592041,0.01,0.999,0.9943574414020421,0.9998234536293739,0.006,0.0027526691418763745,0.01302816824185209,0.999964,1000,1000
101,linear,,,recalibrated,32qam,2,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.009,0.004742060667477063,0.01701581616533807,1.0,1000,1000
101,linear,,,frozen,bpsk,4,CAE,0.0592348575592041,0.01,1.0,0.996173241514445,1.0,0.006,0.0027526691418763745,0.01302816824185209,1.0,1000,1000
101,linear,,,frozen,bpsk,4,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.014,0.00835757513042392,0.02336203411753566,1.0,1000,1000
101,linear,,,frozen,qpsk,4,CAE,0.0592348575592041,0.01,1.0,0.996173241514445,1.0,0.006,0.0027526691418763745,0.01302816824185209,1.0,1000,1000
101,linear,,,frozen,qpsk,4,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.014,0.00835757513042392,0.02336203411753566,1.0,1000,1000
101,linear,,,frozen,16qam,4,CAE,0.0592348575592041,0.01,1.0,0.996173241514445,1.0,0.006,0.0027526691418763745,0.01302816824185209,1.0,1000,1000
101,linear,,,frozen,16qam,4,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.014,0.00835757513042392,0.02336203411753566,1.0,1000,1000
101,linear,,,frozen,32qam,4,CAE,0.0592348575592041,0.01,1.0,0.996173241514445,1.0,0.006,0.0027526691418763745,0.01302816824185209,1.0,1000,1000
101,linear,,,frozen,32qam,4,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.014,0.00835757513042392,0.02336203411753566,1.0,1000,1000
101,linear,,,recalibrated,bpsk,4,CAE,0.0592348575592041,0.01,1.0,0.996173241514445,1.0,0.006,0.0027526691418763745,0.01302816824185209,1.0,1000,1000
101,linear,,,recalibrated,bpsk,4,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.014,0.00835757513042392,0.02336203411753566,1.0,1000,1000
101,linear,,,recalibrated,qpsk,4,CAE,0.0592348575592041,0.01,1.0,0.996173241514445,1.0,0.006,0.0027526691418763745,0.01302816824185209,1.0,1000,1000
101,linear,,,recalibrated,qpsk,4,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.014,0.00835757513042392,0.02336203411753566,1.0,1000,1000
101,linear,,,recalibrated,16qam,4,CAE,0.0592348575592041,0.01,1.0,0.996173241514445,1.0,0.006,0.0027526691418763745,0.01302816824185209,1.0,1000,1000
101,linear,,,recalibrated,16qam,4,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.014,0.00835757513042392,0.02336203411753566,1.0,1000,1000
101,linear,,,recalibrated,32qam,4,CAE,0.0592348575592041,0.01,1.0,0.996173241514445,1.0,0.006,0.0027526691418763745,0.01302816824185209,1.0,1000,1000
101,linear,,,recalibrated,32qam,4,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.014,0.00835757513042392,0.02336203411753566,1.0,1000,1000
101,linear,,,frozen,bpsk,6,CAE,0.0592348575592041,0.01,1.0,0.996173241514445,1.0,0.006,0.0027526691418763745,0.01302816824185209,1.0,1000,1000
101,linear,,,frozen,bpsk,6,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.007,0.0033948684009907646,0.014378315465766588,1.0,1000,1000
101,linear,,,frozen,qpsk,6,CAE,0.0592348575592041,0.01,1.0,0.996173241514445,1.0,0.006,0.0027526691418763745,0.01302816824185209,1.0,1000,1000
101,linear,,,frozen,qpsk,6,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.007,0.0033948684009907646,0.014378315465766588,1.0,1000,1000
101,linear,,,frozen,16qam,6,CAE,0.0592348575592041,0.01,1.0,0.996173241514445,1.0,0.006,0.0027526691418763745,0.01302816824185209,1.0,1000,1000
101,linear,,,frozen,16qam,6,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.007,0.0033948684009907646,0.014378315465766588,1.0,1000,1000
101,linear,,,frozen,32qam,6,CAE,0.0592348575592041,0.01,1.0,0.996173241514445,1.0,0.006,0.0027526691418763745,0.01302816824185209,1.0,1000,1000
101,linear,,,frozen,32qam,6,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.007,0.0033948684009907646,0.014378315465766588,1.0,1000,1000
101,linear,,,recalibrated,bpsk,6,CAE,0.0592348575592041,0.01,1.0,0.996173241514445,1.0,0.006,0.0027526691418763745,0.01302816824185209,1.0,1000,1000
101,linear,,,recalibrated,bpsk,6,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.007,0.0033948684009907646,0.014378315465766588,1.0,1000,1000
101,linear,,,recalibrated,qpsk,6,CAE,0.0592348575592041,0.01,1.0,0.996173241514445,1.0,0.006,0.0027526691418763745,0.01302816824185209,1.0,1000,1000
101,linear,,,recalibrated,qpsk,6,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.007,0.0033948684009907646,0.014378315465766588,1.0,1000,1000
101,linear,,,recalibrated,16qam,6,CAE,0.0592348575592041,0.01,1.0,0.996173241514445,1.0,0.006,0.0027526691418763745,0.01302816824185209,1.0,1000,1000
101,linear,,,recalibrated,16qam,6,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.007,0.0033948684009907646,0.014378315465766588,1.0,1000,1000
101,linear,,,recalibrated,32qam,6,CAE,0.0592348575592041,0.01,1.0,0.996173241514445,1.0,0.006,0.0027526691418763745,0.01302816824185209,1.0,1000,1000
101,linear,,,recalibrated,32qam,6,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.007,0.0033948684009907646,0.014378315465766588,1.0,1000,1000
101,linear,,,frozen,bpsk,8,CAE,0.0592348575592041,0.01,1.0,0.996173241514445,1.0,0.003,0.0010207838811386186,0.008783014053503173,1.0,1000,1000
101,linear,,,frozen,bpsk,8,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.008,0.004059195818806103,0.015706334530980144,1.0,1000,1000
101,linear,,,frozen,qpsk,8,CAE,0.0592348575592041,0.01,1.0,0.996173241514445,1.0,0.003,0.0010207838811386186,0.008783014053503173,1.0,1000,1000
101,linear,,,frozen,qpsk,8,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.008,0.004059195818806103,0.015706334530980144,1.0,1000,1000
101,linear,,,frozen,16qam,8,CAE,0.0592348575592041,0.01,1.0,0.996173241514445,1.0,0.003,0.0010207838811386186,0.008783014053503173,1.0,1000,1000
101,linear,,,frozen,16qam,8,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.008,0.004059195818806103,0.015706334530980144,1.0,1000,1000
101,linear,,,frozen,32qam,8,CAE,0.0592348575592041,0.01,1.0,0.996173241514445,1.0,0.003,0.0010207838811386186,0.008783014053503173,1.0,1000,1000
101,linear,,,frozen,32qam,8,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.008,0.004059195818806103,0.015706334530980144,1.0,1000,1000
101,linear,,,recalibrated,bpsk,8,CAE,0.0592348575592041,0.01,1.0,0.996173241514445,1.0,0.003,0.0010207838811386186,0.008783014053503173,1.0,1000,1000
101,linear,,,recalibrated,bpsk,8,PsiNN,0.20215195417404175,0.01,1.0,0.996173241514445,1.0,0.008,0.004059195818806103,0.015706334530980144,1.0,1000,1000
